"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"BEFORE","103980-9","Pharmacy preference","Find","Pt","^Patient","Nar","Reported","SURVEY.ADVAULT"
"CHANGED","103980-9","Pharmacy preference","Find","Pt","^Patient","Nar","Reported","CLIN"
"BEFORE","104005-4","Information to tell doctors if you experience failing health with a low chance of recovery","Find","Pt","^Patient","Nar","Reported","SURVEY.ADVAULT"
"CHANGED","104005-4","Information to tell doctors if you experience failing health with a low chance of recovery","Find","Pt","^Patient","Nar","Reported","CLIN"
"ADD","104010-4","16-item Transportation Security Index","-","Pt","^Patient","-","TSI-16","PANEL.SURVEY.SDOH"
"ADD","104011-2","How often did you spend a long time waiting because you did not have the transportation that would allow you to come and go when you wanted","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104012-0","How often you were late getting somewhere because of a problem with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104013-8","How often did it take you longer to get somewhere than it would have taken you if you had different transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104014-6","How often did you have to arrive somewhere early and wait because of the schedule of the bus, train, or person giving you a ride","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104015-3","How often did you have to reschedule an appointment because of a problem with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104016-1","How often did you skip going somewhere because of a problem with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104017-9","How often were you not able to leave the house when you wanted to because of a problem with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104018-7","How often did you worry about whether or not you would be able to get somewhere because of a problem with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104019-5","How often did you feel stuck at home because of a problem with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104020-3","How often do you think that someone did not invite you to something because of problems with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104021-1","How often did you feel like friends, family, or neighbors were avoiding you because you needed help with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104022-9","How often did you feel left out because you did not have the transportation you needed","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104023-7","How often did you feel bad because you did not have the transportation you needed","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104024-5","How often did you worry about inconveniencing your friends, family, or neighbors because you needed help with transportation","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104025-2","How often did problems with transportation affect your relationships with others","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"ADD","104026-0","How often did you feel embarrassed because you did not have the transportation you needed","Find","30D","^Patient","Ord","","SURVEY.SDOH"
"BEFORE","104038-5","Fall risk assessment","Imp","Pt","^Patient","Ord","Hendrich II","CLIN.RISK"
"CHANGED","104038-5","Hendrich II fall risk assessment interpretation","Imp","Pt","^Patient","Nom","Hendrich II","CLIN.RISK"
"BEFORE","104045-0","Tracheobronchial toilet occurence","Find","Pt","^Patient","Nom","Bronchoscopy","PULM"
"CHANGED","104045-0","Tracheobronchial toilet occurrence","Find","Pt","^Patient","Nom","Bronchoscopy","PULM"
"BEFORE","104119-3","Breast Cancer recurrence risk multigene analysis","PrThr","Pt","Tissue","Ord","Molgen","MOLPATH"
"CHANGED","104119-3","Breast Cancer recurrence risk multigene analysis","Find","Pt","Tiss","Doc","Molgen","MOLPATH"
"BEFORE","104218-3","Spermatozoa.nonprogressive/100 spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"CHANGED","104218-3","Spermatozoa.nonprogressive/Spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"BEFORE","104219-1","Spermatozoa.immotile/100 spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"CHANGED","104219-1","Spermatozoa.immotile/Spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"BEFORE","104220-9","Spermatozoa.viable/100 spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"CHANGED","104220-9","Spermatozoa.viable/Spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"BEFORE","104221-7","Spermatozoa.progressive.rapid/100 spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"CHANGED","104221-7","Spermatozoa.progressive.rapid/Spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"BEFORE","104222-5","Spermatozoa.progressive.slow/100 spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"CHANGED","104222-5","Spermatozoa.progressive.slow/Spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"BEFORE","104223-3","Spermatozoa.progressive.slow+rapid/100 spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"CHANGED","104223-3","Spermatozoa.progressive.slow+rapid/Spermatozoa^post ejaculation","NFr","Pt","Urine","Qn","","FERT"
"BEFORE","104259-7","Fibroblast growth factor 23","PrThr","Pt","Tissue","Ord","FISH","CHEM"
"CHANGED","104259-7","Fibroblast growth factor 23","PrThr","Pt","Tiss","Ord","FISH","CHEM"
"BEFORE","104322-3","Lymphocytes.lambda/100 lymphocytes","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","104322-3","Lymphocytes.lambda/Lymphocytes","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","104432-0","Mycobacterium leprae anti-PGL-1 Ab","Titr","Pt","Ser","SemiQn","","MICRO"
"CHANGED","104432-0","Mycobacterium leprae PGL-1 Ab","Titr","Pt","Ser","SemiQn","","MICRO"
"BEFORE","104479-1","Cells.recipient derived/100 Cells^post stem cell transplantation","NFr","Pt","Bld/Tiss","Qn","Molgen","BLDBK"
"CHANGED","104479-1","Cells.recipient derived/Cells^post stem cell transplantation","NFr","Pt","Bld/Tiss","Qn","Molgen","BLDBK"
"BEFORE","104480-9","Cells.recipient derived/100 Cells^post stem cell transplantation","NFr","Pt","Bone marrow","Qn","Molgen","BLDBK"
"CHANGED","104480-9","Cells.recipient derived/Cells^post stem cell transplantation","NFr","Pt","Bone marrow","Qn","Molgen","BLDBK"
"BEFORE","104490-8","Appearance","Aper","Pt","^BPU","Nom","","BLDBK"
"CHANGED","104490-8","Observation","Aper","Pt","^BPU","Nom","","BLDBK"
"BEFORE","104536-8","Egg Comprehensive panel","-","Pt","Ser/Plas","-","","PANEL.ALLERGY"
"CHANGED","104536-8","Egg Comprehensive Ab.IgE panel","-","Pt","Ser/Plas","-","","PANEL.ALLERGY"
"BEFORE","104599-6","Fungal susceptibility panel","-","Pt","Isolate","OrdQn","MIC","MICRO"
"CHANGED","104599-6","Fungal susceptibility panel","-","Pt","Isolate","OrdQn","MIC","PANEL.MICRO"
"BEFORE","104610-1","Monkeypox virus clade II + Orthopoxvirus.non-variola DNA","Prid","Pt","XXX","Nom","Probe.amp.tar","MICRO"
"CHANGED","104610-1","Monkeypox virus clade II & Orthopoxvirus.non-variola DNA","Prid","Pt","XXX","Nom","Probe.amp.tar","MICRO"
"ADD","104633-3","Guidance for aspiration of ganglion cyst","Find","Pt","XXX","Doc","US","RAD"
"ADD","104634-1","Continuous glucose monitor device","TmStp","RptPeriod^start","^Patient","Qn","Reported","CLIN"
"ADD","104635-8","Continuous glucose monitor device","TmStp","RptPeriod^end","^Patient","Qn","Reported","CLIN"
"ADD","104636-6","Days continuous glucose monitor device worn","Num","RptPeriod","^Patient","Qn","Estimated","CLIN"
"ADD","104637-4","Percentage of time continuous glucose monitor device worn","TimeFr","RptPeriod","^Patient","Qn","Calculated","CLIN"
"BEFORE","104638-2","Glycemic variability during reporting period","NFr","Pt","Interstitial fluid","Qn","Calculated","CHEM"
"CHANGED","104638-2","Glucose standard deviation/Glucose mean","NFr","RptPeriod","Interstitial fluid","Qn","Calculated","CHEM"
"ADD","104639-0","Time above range, very high","TimeFr","RptPeriod","Interstitial fluid","Qn","Calculated","CHEM"
"ADD","104640-8","Time above range, high","TimeFr","RptPeriod","Interstitial fluid","Qn","Calculated","CHEM"
"ADD","104641-6","Time below range, low","TimeFr","RptPeriod","Interstitial fluid","Qn","Calculated","CHEM"
"ADD","104642-4","Time below range, very low","NFr","RptPeriod","Interstitial fluid","Qn","Calculated","CHEM"
"BEFORE","10466-1","Anion gap 3","SCnc","Pt","Ser/Plas","Qn","","CHEM"
"CHANGED","10466-1","Anion gap","SCnc","Pt","Ser/Plas","Qn","Calculated.3Ions","CHEM"
"BEFORE","104698-6","N-acetyl-L-glutamate","SRto","Pt","Urine","Qn","","CHEM"
"CHANGED","104698-6","N-acetyl-L-glutamate/Creatinine","SRto","Pt","Urine","Qn","","CHEM"
"BEFORE","104826-3","Hematocrit","VFr.DF","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104826-3","Erythrocyte/Specimen Volume","VFr.DF","Pt","Bld","Qn","Calculated","HEM/BC"
"ADD","104827-1","Medication batch ID","ID","Pt","Medication","Nom","","ADMIN"
"BEFORE","104842-0","Aluminum","PrThr","Pt","Ser","SemiQn","RAST","ALLERGY"
"CHANGED","104842-0","Aluminum Ab.IgE","PrThr","Pt","Ser","SemiQn","RAST","ALLERGY"
"BEFORE","104874-3","Hematocrit^Baseline","VFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104874-3","Erythrocyte/Specimen Volume^Baseline","VFr","Pt","Bld","Qn","Calculated","HEM/BC"
"BEFORE","105038-4","OXA-40/58 carbapenemase","PrThr","Pt","Isolate/Specimen","Ord","IA.rapid","ABXBACT"
"CHANGED","105038-4","OXA-40+58 carbapenemase","PrThr","Pt","Isolate/Specimen","Ord","IA.rapid","ABXBACT"
"BEFORE","105064-0","Staphylococcus sp identified","Prid","Pt","XXX","Nom","","MICRO"
"CHANGED","105064-0","Staphylococcus sp","Prid","Pt","XXX","Nom","","MICRO"
"BEFORE","105112-7","Eosinophils/100 leukocytes","NFr","Pt","Urine sed","Qn","","UA"
"CHANGED","105112-7","Eosinophils/Leukocytes","NFr","Pt","Urine sed","Qn","","UA"
"BEFORE","105178-8","Invasive Trophoblast Ag","PrThr","Pt","Tissue","Ord","Immune stain","CHEM"
"CHANGED","105178-8","Invasive Trophoblast Ag","PrThr","Pt","Tiss","Ord","Immune stain","CHEM"
"BEFORE","105203-4","fentaNYL","MCnc","Pt","Blood","Qn","LC/MS/MS","DRUG/TOX"
"CHANGED","105203-4","fentaNYL","MCnc","Pt","Bld","Qn","LC/MS/MS","DRUG/TOX"
"BEFORE","105303-2","Tumor cells+Macrophages+Lymphocytes.Programmed cell death ligand 1/100 viable tumor cells","Ratio","Pt","Tiss","Qn","Immune stain","PATH"
"CHANGED","105303-2","Tumor cells+Macrophages+Lymphocytes.Programmed cell death ligand 1/Viable tumor cells","Ratio","Pt","Tiss","Qn","Immune stain","PATH"
"BEFORE","105304-0","Tumor cells.Programmed cell death ligand 1/100 viable tumor cells","NFr","Pt","Tiss","Qn","Immune stain","PATH"
"CHANGED","105304-0","Tumor cells.Programmed cell death ligand 1/Viable tumor cells","NFr","Pt","Tiss","Qn","Immune stain","PATH"
"BEFORE","105519-3","PhenX - lipid profile protocol 40201","-","Pt","^Patient","-","PhenX","PANEL.PHENX"
"CHANGED","105519-3","PhenX - lipid profile protocol 040201","-","Pt","^Patient","-","PhenX","PANEL.PHENX"
"BEFORE","105604-3","Aeromonas sp identified","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"CHANGED","105604-3","Aeromonas sp","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"BEFORE","105613-4","Pneumocystis jiroveci DNA","PrThr","Pt","BAL","Ord","Probe.amp.tar","MICRO"
"CHANGED","105613-4","Pneumocystis jirovecii DNA","PrThr","Pt","BAL","Ord","Probe.amp.tar","MICRO"
"BEFORE","105620-9","Campylobacter & Salmonella & Shigella sp identified^^^2","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","105620-9","Campylobacter & Salmonella & Shigella sp^^^2","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"BEFORE","105621-7","Campylobacter & Salmonella & Shigella sp identified^^^3","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","105621-7","Campylobacter & Salmonella & Shigella sp^^^3","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"BEFORE","10569-2","Color","Type","Pt","Semen","Nom","","SPEC"
"CHANGED","10569-2","Observation","Color","Pt","Semen","Nom","","SPEC"
"BEFORE","105756-1","Mycobacterium tuberculosis kanamycin","Prid","Pt","Isolate/Specimen","Nom","Molgen","MOLPATH.MUT"
"CHANGED","105756-1","Mycobacterium tuberculosis eis gene mutations","Prid","Pt","Isolate/Specimen","Nom","Molgen","MOLPATH.MUT"
"BEFORE","105777-7","Aminoglycoside 6'-N-acetyltransferase type Ib DNA","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"CHANGED","105777-7","Aminoglycoside 6'-N-acetyltransferase type Ib gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"BEFORE","105781-9","Bacterial beta-lactam resistance GES gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"CHANGED","105781-9","Bacterial beta-lactam resistance blaGES gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"BEFORE","105782-7","Bacterial beta-lactam resistance IMP gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"CHANGED","105782-7","Bacterial beta-lactam resistance blaIMP gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"BEFORE","105783-5","Bacterial beta-lactam resistance KPC gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"CHANGED","105783-5","Bacterial beta-lactam resistance blaKPC gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"BEFORE","105784-3","Bacterial beta-lactam resistance NDM gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"CHANGED","105784-3","Bacterial beta-lactam resistance blaNDM gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","ABXBACT"
"BEFORE","105792-6","Bacterial beta-lactam resistance TEM gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","MICRO"
"CHANGED","105792-6","Bacterial beta-lactam resistance blaTEM gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","MICRO"
"BEFORE","105793-4","Bacterial beta-lactam resistance VEB gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","MICRO"
"CHANGED","105793-4","Bacterial beta-lactam resistance blaVEB gene","ThreshNum","Pt","Bld.pos growth","Qn","Probe.amp.tar","MICRO"
"BEFORE","10593-2","Spermatozoa.pyriform head/100 spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"CHANGED","10593-2","Spermatozoa.pyriform head/Spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"BEFORE","10594-0","Spermatozoa.tapering head/100 spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"CHANGED","10594-0","Spermatozoa.tapering head/Spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"ADD","106016-9","Bacteria","Prid","Pt","Penis","Nom","Culture","MICRO"
"BEFORE","10602-1","Spermatozoa.abnormal head/100 spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"CHANGED","10602-1","Spermatozoa.abnormal head/Spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"ADD","106024-3","Fungus","Prid","Pt","Vag","Nom","Culture","MICRO"
"ADD","106032-6","Bacteria","Prid","Pt","Pus","Nom","Culture","MICRO"
"ADD","106033-4","Bacteria","Prid","Pt","Pus","Nom","Anaerobic culture","MICRO"
"ADD","106034-2","Fungus","Prid","Pt","Pus","Nom","Culture","MICRO"
"BEFORE","10603-9","Spermatozoa.abnormal midpiece/100 spermatozoa","NFr","Pt","Semen","Qn","","FERT"
