"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"34692-4","","","","","","","","","","Threo-Dihydrobupropion","Threo-Dihydrobupropion"
"41003-5","","","","","","","","","","Coronavirus 229E RNA ql. /SM PCR","Coronavirus 229E RNA ql. /Sondermaterial PCR"
"94309-2","","","","","","","","","","SARS-CoV-2-RNA ql. /Material n. spez. PCR","SARS-CoV-2-RNA ql. /Material n. spez. PCR"
"94505-5","","","","","","","","","","SARS-CoV-2-AK IgG","SARS-CoV-2 Antikörper IgG"
"94507-1","","","","","","","","","","SARS-CoV-2-AK IgG ST","SARS-CoV-2 Antikörper IgG Schnelltest"
"94759-8","","","","","","","","","","SARS-CoV-2-RNA ql. /NP PCR","SARS-CoV-2-RNA ql. /NP PCR"
"94547-7","","","","","","","","","","SARS-CoV-2-AK (IgG+IgM) ql.","SARS-CoV-2 Antikörper (IgG+IgM) qualitativ"
"95128-5","","","","","","","","","","Edoxaban (aFXa Akt.)","Edoxaban Anti Faktor Fxa Aktivität"
"32150-5","","","","","","","","","","Harnsäurekristalle (amorph) mikr. /US","Harnsäurekristalle (amorph) mikr. /Urinsediment"
"4023-8","","","","","","","","","","Salizylate ql.","Salizylate qualitativ"
"40493-9","","","","","","","","","","MDMA ql.","MDMA qualitativ"
"15550-7","","","","","","","","","","IgE m207 Aspergillus niger RAST","IgE m207 Aspergillus niger RAST"
"15563-0","","","","","","","","","","IgE k70 Grüne Kaffeebohne RAST","IgE k70 Grüne Kaffeebohne RAST"
"15647-1","","","","","","","","","","IgE i6 Küchenschabe RAST","IgE i6 Küchenschabe RAST"
"15656-2","","","","","","","","","","IgE o1 Baumwolle RAST","IgE o1 Baumwolle RAST"
"15607-5","","","","","","","","","","IgE f202 Cashewnuss RAST","IgE f202 Cashewnuß RAST"
"15826-1","","","","","","","","","","IgE k208 Lysozym (nGal d4) RAST","Hühnerei Gald4 IgE RAST"
"15950-9","","","","","","","","","","IgE m70 Pityrosporium orbiculare RAST","IgE m70 Pityrosporium orbiculare RAST"
"15933-5","","","","","","","","","","IgE k79 Phtalsäure Anhydrid RAST","IgE k79 Phtalsäure Anhydrid RAST"
"15814-7","","","","","","","","","","IgE d71 Lepidoglyphus destr. RAST","IgE d71 Lepidoglyphus destr. RAST"
"16037-4","","","","","","","","","","IgE d72 Tyrophagus putreus RAST","IgE d72 Tyrophagus putreus RAST"
"16035-8","","","","","","","","","","IgE d70 Acarus siro RAST","IgE d70 Acarus siro RAST"
"16042-4","","","","","","","","","","IgE k84 Sonnenblumensamen RAST","IgE k84 Sonnenblumensamen RAST"
"16047-3","","","","","","","","","","IgE f302 Mandarine RAST","IgE f302 Mandarine RAST"
"16063-0","","","","","","","","","","IgE k86 Trimellitinsäure Anhydrid RAST","IgE k86 Trimellitinsäure Anhydrid RAST"
"1783-0","","","","","","","","","","Alk.Phosphataseindex","Alk.Phosphataseindex"
"18861-5","","","","","","","","","","Amoxicillin","Amoxicillin"
"18863-1","","","","","","","","","","Amphotericin B","Amphotericin B"
"18876-3","","","","","","","","","","Cefamandol","Cefamandol"
"18882-1","","","","","","","","","","Cefodizim","Cefodizim"
"18884-7","","","","","","","","","","Cefoperazon","Cefoperazon"
"18885-4","","","","","","","","","","Ceforanid","Ceforanid"
"18887-0","","","","","","","","","","Cefotetan","Cefotetan"
"18889-6","","","","","","","","","","Cefpirom","Cefpirom"
"18890-4","","","","","","","","","","Cefpodoxim","Cefpodoxim"
"18891-2","","","","","","","","","","Cefprozil","Cefprozil"
"18892-0","","","","","","","","","","Cefsulodin","Cefsulodin"
"18895-3","","","","","","","","","","Ceftriaxon","Ceftriaxon"
"18897-9","","","","","","","","","","Cefalexin","Cefalexin"
"18905-0","","","","","","","","","","Cinoxacin","Cinoxacin"
"18912-6","","","","","","","","","","Colistin","Colistin"
"18916-7","","","","","","","","","","Dicloxacillin","Dicloxacillin"
"18917-5","","","","","","","","","","Doxycyclin","Doxycyclin"
"18918-3","","","","","","","","","","Enoxacin","Enoxacin"
"18919-1","","","","","","","","","","Erythromycin","Erythromycin"
"18855-7","","","","","","","","","","Flucytosin","Flucytosin"
"18859-9","","","","","","","","","","Mecillinam","Mecillinam"
"18866-4","","","","","","","","","","Azithromycin","Azithromycin"
"18867-2","","","","","","","","","","Azlocillin","Azlocillin"
"18857-3","","","","","","","","","","Almecillin","Almecillin"
"18865-6","","","","","","","","","","Ampicillin+Sulbactam","Ampicillin+Sulbactam"
"18869-8","","","","","","","","","","Bacampicillin","Bacampicillin"
"18872-2","","","","","","","","","","Capreomycin","Capreomycin"
"18873-0","","","","","","","","","","Carbenicillin","Carbenicillin"
"18877-1","","","","","","","","","","Cefatrizin","Cefatrizin"
"18871-4","","","","","","","","","","Butirosin","Butirosin"
"18875-5","","","","","","","","","","Cefadroxil","Cefadroxil"
"18894-6","","","","","","","","","","Ceftizoxim","Ceftizoxim"
"18898-7","","","","","","","","","","Cefaloglycin","Cefaloglycin"
"18901-9","","","","","","","","","","Cefapirin","Cefapirin"
"18909-2","","","","","","","","","","Clotrimazol","Clotrimazol"
"18910-0","","","","","","","","","","Cloxacillin","Cloxacillin"
"18913-4","","","","","","","","","","Ciclacillin","Ciclacillin"
"18914-2","","","","","","","","","","Cycloserin","Cycloserin"
"18921-7","","","","","","","","","","Ethambutol","Ethambutol"
"18922-5","","","","","","","","","","Ethionamid","Ethionamid"
"18926-6","","","","","","","","","","Framycetin","Framycetin"
"18930-8","","","","","","","","","","Gramicidin D","Gramicidin D"
"18936-5","","","","","","","","","","Kanamycin (Hochdosis)","Kanamycin (Hochdosis)"
"18938-1","","","","","","","","","","Lincomycin","Lincomycin"
"18939-9","","","","","","","","","","Lomefloxacin","Lomefloxacin"
"18941-5","","","","","","","","","","Lymecyclin","Lymecyclin"
"18945-6","","","","","","","","","","Meticillin","Meticillin"
"18946-4","","","","","","","","","","Metronidazol","Metronidazol"
"18929-0","","","","","","","","","","Gentamicin (Hochdosis)","Gentamicin (Hochdosis)"
"18931-6","","","","","","","","","","Hetacillin","Hetacillin"
"18935-7","","","","","","","","","","Kanamycin","Kanamycin"
"18949-8","","","","","","","","","","Miocamycin","Miocamycin"
"18954-8","","","","","","","","","","Netilmicin","Netilmicin"
"18961-3","","","","","","","","","","Oxacillin","Oxacillin"
"18965-4","","","","","","","","","","Penicillin G","Penicillin G"
"18974-6","","","","","","","","","","Rifampicin","Rifampicin"
"18987-8","","","","","","","","","","Sulfonamide und Trimethoprim","Sulfonamide und Trimethoprim"
"18988-6","","","","","","","","","","Talampicillin","Talampicillin"
"18992-8","","","","","","","","","","Terbinafin","Terbinafin"
"18997-7","","","","","","","","","","Trimethoprim","Trimethoprim"
"18947-2","","","","","","","","","","Mezlocillin","Mezlocillin"
"18948-0","","","","","","","","","","Minocyclin","Minocyclin"
"18957-1","","","","","","","","","","Novobiocin","Novobiocin"
"18958-9","","","","","","","","","","Nystatin","Nystatin"
"18963-9","","","","","","","","","","Pefloxacin","Pefloxacin"
"18964-7","","","","","","","","","","Betalactam-Antibiotika, Penicilline","Betalactam-Antibiotika, Penicilline"
"18966-2","","","","","","","","","","Penicillin V","Penicillin V"
"18968-8","","","","","","","","","","Pipemidsäure","Pipemidsäure"
"18971-2","","","","","","","","","","Pivampicillin","Pivampicillin"
"18973-8","","","","","","","","","","Pyrazinamid","Pyrazinamid"
"18976-1","","","","","","","","","","Rolitetracyclin","Rolitetracyclin"
"18980-3","","","","","","","","","","Spectinomycin","Spectinomycin"
"18981-1","","","","","","","","","","Spiramycin","Spiramycin"
"18983-7","","","","","","","","","","Streptomycin (Hochdosis)","Streptomycin (Hochdosis)"
"18984-5","","","","","","","","","","Sulfadiazin","Sulfadiazin"
"18999-3","","","","","","","","","","Troleandomycin","Troleandomycin"
"19001-7","","","","","","","","","","Viomycin","Viomycin"
"18902-7","","","","","","","","","","Cefradin","Cefradin"
"18903-5","","","","","","","","","","Chloramphenicol","Chloramphenicol"
"18904-3","","","","","","","","","","Chlortetracyclin","Chlortetracyclin"
"18911-8","","","","","","","","","","Colistimethat","Colistimethat"
"18915-9","","","","","","","","","","Demeclocyclin","Demeclocyclin"
"18920-9","","","","","","","","","","Erythromycin+Sulfisoxazol","Erythromycin+Sulfisoxazol"
"18923-3","","","","","","","","","","Flucloxacillin","Flucloxacillin"
"18924-1","","","","","","","","","","Fluconazol","Fluconazol"
"18934-0","","","","","","","","","","Isoniazid","Isoniazid"
"18940-7","","","","","","","","","","Loracarbef","Loracarbef"
"18944-9","","","","","","","","","","Metacyclin","Metacyclin"
"18977-9","","","","","","","","","","Rosoxacin","Rosoxacin"
"18989-4","","","","","","","","","","Teicoplanin","Teicoplanin"
"18991-0","","","","","","","","","","Temocillin","Temocillin"
"18995-1","","","","","","","","","","Ticarcillin+Clavulansäure","Ticarcillin+Clavulansäure"
"19000-9","","","","","","","","","","Vancomycin","Vancomycin"
"19149-4","","","","","","","","","","Rifabutin","Rifabutin"
"20389-3","","","","","","","","","","Mupirocin","Mupirocin"
"20390-1","","","","","","","","","","Sulfadiazin-Silber","Sulfadiazin-Silber"
"20391-9","","","","","","","","","","Mafenid","Mafenid"
"15345-2","","","","","","","","","","Aldosteron stim. 60 min","Aldosteron stimuliert 60 Minuten"
"15562-2","","","","","","","","","","IgE k71 Rizinusbohne RAST","IgE k71 Rizinusbohne RAST"
"15637-2","","","","","","","","","","IgE k85 Chloramin T RAST","IgE k85 Chloramin T RAST"
"15730-5","","","","","","","","","","IgE d73 Glycophagus domesticus RAST","IgE d73 Glycophagus domesticus RAST"
"15799-0","","","","","","","","","","IgE k72 Ispaghula RAST","IgE k72 Ispaghula RAST"
"16009-3","","","","","","","","","","IgE k206 Savinase RAST","IgE k206 Savinase RAST"
"16019-2","","","","","","","","","","IgE k74 Rohseide RAST","IgE k74 Rohseide RAST"
"23628-1","","","","","","","","","","Sparfloxacin","Sparfloxacin"
"23642-2","","","","","","","","","","Trovafloxacin","Trovafloxacin"
"23658-8","","","","","","","","","","Anderes Antibiotikum","Anderes Antibiotikum"
"23636-4","","","","","","","","","","Cefdinir","Cefdinir"
"23638-0","","","","","","","","","","Grepafloxacin","Grepafloxacin"
"23640-6","","","","","","","","","","Quinupristin/Dalfopristin","Quinupristin/Dalfopristin"
"23659-6","","","","","","","","","","Apramycin","Apramycin"
"1-8","","","","","","","","","","Aciclovir","Aciclovir"
"25465-6","","","","","","","","","","IgE Rk210 Maleinsäure-Anhydrid RAST","IgE Rk210 Maleinsäure-Anhydrid RAST"
"25514-1","","","","","","","","","","Rötelnv.-AK IgG ql.","Rötelnvirus-Antikörper IgG qualitativ"
"25566-1","","","","","","","","","","IgE k214 Bougainville (Drillingsblume) RAST","IgE k214 Bougainville (Drillingsblume) RAST"
"25608-1","","","","","","","","","","Nitroxolin","Nitroxolin"
"18868-0","","","","","","","","","","Aztreonam","Aztreonam"
"18870-6","","","","","","","","","","Bacitracin","Bacitracin"
"18874-8","","","","","","","","","","Cefaclor","Cefaclor"
"18878-9","","","","","","","","","","Cefazolin","Cefazolin"
"18881-3","","","","","","","","","","Cefmetazol","Cefmetazol"
"18883-9","","","","","","","","","","Cefonicid","Cefonicid"
"18899-5","","","","","","","","","","Cefaloridin","Cefaloridin"
"18907-6","","","","","","","","","","Clarithromycin","Clarithromycin"
"18908-4","","","","","","","","","","Clindamycin","Clindamycin"
"18927-4","","","","","","","","","","Fusidinsäure","Fusidinsäure"
"18937-3","","","","","","","","","","Ketoconazol","Ketoconazol"
"18942-3","","","","","","","","","","Meclocyclin","Meclocyclin"
"18943-1","","","","","","","","","","Meropenem","Meropenem"
"18950-6","","","","","","","","","","Latamoxef","Latamoxef"
"18951-4","","","","","","","","","","Nafcillin","Nafcillin"
"18953-0","","","","","","","","","","Neomycin","Neomycin"
"25496-1","","","","","","","","","","IgE k212 Abachi Holzstaub RAST","IgE k212 Abachi Holzstaub RAST"
"25595-0","","","","","","","","","","Econazol","Econazol"
"25607-3","","","","","","","","","","Miconazol","Miconazol"
"25823-6","","","","","","","","","","IgE m81 Staphylococcus enteroxin B RAST","IgE m81 Staphylococcus enteroxin B RAST"
"18960-5","","","","","","","","","","Oleandomycin","Oleandomycin"
"18962-1","","","","","","","","","","Oxytetracyclin","Oxytetracyclin"
"18967-0","","","","","","","","","","Pheneticillin","Pheneticillin"
"18972-0","","","","","","","","","","Polymyxin B","Polymyxin B"
"18975-3","","","","","","","","","","Ristocetin","Ristocetin"
"18978-7","","","","","","","","","","Roxithromycin","Roxithromycin"
"18979-5","","","","","","","","","","Sisomicin","Sisomicin"
"18982-9","","","","","","","","","","Streptomycin","Streptomycin"
"18985-2","","","","","","","","","","Sulfamethoxazol","Sulfamethoxazol"
"18986-0","","","","","","","","","","Sulfisoxazol","Sulfisoxazol"
"18990-2","","","","","","","","","","Temafloxacin","Temafloxacin"
"18993-6","","","","","","","","","","Tetracyclin","Tetracyclin"
"25825-1","","","","","","","","","","IgE m223 Staphyloc. enterotoxin C RAST","IgE m223 Staphyloc. enterotoxin C RAST"
"26026-5","","","","","","","","","","IgE k209 Hexahydrophtalsäure- Anhydrid RAST","IgE k209 Hexahydrophtalsäure- Anhydrid RAST"
"26036-4","","","","","","","","","","IgE m80 Staphylococcus enteroxin A RAST","IgE m80 Staphylococcus enteroxin A RAST"
"26032-3","","","","","","","","","","IgE k213 Pepsin RAST","IgE k213 Pepsin RAST"
"265-9","","","","","","","","","","Ganciclovir","Ganciclovir"
"20388-5","","","","","","","","","","Nitrofural","Nitrofural"
"21439-5","","","","","","","","","","IgE k201 Papain (nCar p1) RAST","IgE k201 Papain (nCar p1) RAST"
"29258-1","","","","","","","","","","Linezolid","Linezolid"
"30298-4","","","","","","","","","","Lamivudin","Lamivudin"
"30308-1","","","","","","","","","","Ritonavir","Ritonavir"
"30310-7","","","","","","","","","","Saquinavir","Saquinavir"
"30301-6","","","","","","","","","","Zalcitabin","Zalcitabin"
"30302-4","","","","","","","","","","Stavudin","Stavudin"
"30303-2","","","","","","","","","","Abacavir","Abacavir"
"30305-7","","","","","","","","","","Delavirdin","Delavirdin"
"30306-5","","","","","","","","","","Efavirenz","Efavirenz"
"30299-2","","","","","","","","","","Amprenavir","Amprenavir"
"23627-3","","","","","","","","","","Clofazimin","Clofazimin"
"23629-9","","","","","","","","","","Paraaminosalicylsäure (PAS)","Paraaminosalicylsäure (PAS)"
"23709-9","","","","","","","","","","Ceftiofur","Ceftiofur"
"23712-3","","","","","","","","","","Enrofloxacin","Enrofloxacin"
"23740-4","","","","","","","","","","Florfenicol","Florfenicol"
"30304-0","","","","","","","","","","Adefovirdipivoxil","Adefovirdipivoxil"
"31039-1","","","","","","","","","","Moxifloxacin","Moxifloxacin"
"31038-3","","","","","","","","","","Gatifloxacin","Gatifloxacin"
"32372-5","","","","","","","","","","Fleroxacin","Fleroxacin"
"32375-8","","","","","","","","","","Cefmenoxim","Cefmenoxim"
"32378-2","","","","","","","","","","Caspofungin","Caspofungin"
"32373-3","","","","","","","","","","Arbekacin","Arbekacin"
"32377-4","","","","","","","","","","Cefetamet","Cefetamet"
"32379-0","","","","","","","","","","Voriconazol","Voriconazol"
"32381-6","","","","","","","","","","Isepamicin","Isepamicin"
"32383-2","","","","","","","","","","Pristinamycin","Pristinamycin"
"32384-0","","","","","","","","","","Thioacetazon","Thioacetazon"
"32603-3","","","","","","","","","","Itraconazol","Itraconazol"
"32597-7","","","","","","","","","","Natamycin","Natamycin"
"25597-6","","","","","","","","","","Josamycin","Josamycin"
"256-8","","","","","","","","","","Foscarnet","Foscarnet"
"33627-1","","","","","","","","","","Tenofovirdisoproxil","Tenofovirdisoproxil"
"35771-5","","","","","","","","","","Cefotaxim+Clavulansäure","Cefotaxim+Clavulansäure"
"35802-8","","","","","","","","","","Ertapenem","Ertapenem"
"30300-8","","","","","","","","","","Didanosin","Didanosin"
"30307-3","","","","","","","","","","Indinavir","Indinavir"
"30309-9","","","","","","","","","","Nelfinavir","Nelfinavir"
"30311-5","","","","","","","","","","Nevirapin","Nevirapin"
"35851-5","","","","","","","","","","Tilmicosin","Tilmicosin"
"35831-7","","","","","","","","","","Pirlimycin","Pirlimycin"
"35838-2","","","","","","","","","","Salinomycin","Salinomycin"
"35845-7","","","","","","","","","","Telithromycin","Telithromycin"
"35848-1","","","","","","","","","","Tiamulin","Tiamulin"
"35874-7","","","","","","","","","","Penicillin+Novobiocin","Penicillin+Novobiocin"
"35756-6","","","","","","","","","","Avilamycin","Avilamycin"
"35789-7","","","","","","","","","","Daptomycin","Daptomycin"
"35792-1","","","","","","","","","","Difloxacin","Difloxacin"
"35795-4","","","","","","","","","","Dirithromycin","Dirithromycin"
"35816-8","","","","","","","","","","Gemifloxacin","Gemifloxacin"
"35827-5","","","","","","","","","","Orbifloxacin","Orbifloxacin"
"35854-9","","","","","","","","","","Trospectinomycin","Trospectinomycin"
"35861-4","","","","","","","","","","Virginiamycin","Virginiamycin"
"32374-1","","","","","","","","","","Cefotiam","Cefotiam"
"32376-6","","","","","","","","","","Clinafloxacin","Clinafloxacin"
"33628-9","","","","","","","","","","Cidofovir","Cidofovir"
"41732-9","","","","","","","","","","Ceftriaxon+Clavulansäure","Ceftriaxon+Clavulansäure"
"41734-5","","","","","","","","","","Dalbavancin","Dalbavancin"
"41739-4","","","","","","","","","","Sulbactam","Sulbactam"
"41727-9","","","","","","","","","","Aztreonam+Clavulansäure","Aztreonam+Clavulansäure"
"41729-5","","","","","","","","","","Cefotetan+Clavulansäure","Cefotetan+Clavulansäure"
"41730-3","","","","","","","","","","Cefoxitin+Clavulansäure","Cefoxitin+Clavulansäure"
"41733-7","","","","","","","","","","Clavulansäure","Clavulansäure"
"41737-8","","","","","","","","","","Ramoplanin","Ramoplanin"
"41738-6","","","","","","","","","","Rosaramicin","Rosaramicin"
"41740-2","","","","","","","","","","Tazobactam","Tazobactam"
"41993-7","","","","","","","","","","Atazanavir","Atazanavir"
"42357-4","","","","","","","","","","Tigecyclin","Tigecyclin"
"42353-3","","","","","","","","","","Cefepim+Clavulansäure","Cefepim+Clavulansäure"
"42535-5","","","","","","","","","","Tipranavir","Tipranavir"
"43272-4","","","","","","","","","","Ceftobiprol","Ceftobiprol"
"43840-8","","","","","","","","","","Influenza B-AK IgM ql.","Influenza B-Antikörper IgM qualitativ"
"35762-4","","","","","","","","","","Cefditoren","Cefditoren"
"35776-4","","","","","","","","","","Ceftazidim+Clavulansäure","Ceftazidim+Clavulansäure"
"35779-8","","","","","","","","","","Ceftibuten","Ceftibuten"
"35805-1","","","","","","","","","","Bambermycin","Bambermycin"
"35813-5","","","","","","","","","","Garenoxacin","Garenoxacin"
"35858-0","","","","","","","","","","Tylosin","Tylosin"
"5025-2","","","","","","","","","","Mycobacterium intracellulare rRNA ql. /SM PCR","Mycobacterium intracellulare rRNA ql. /SM PCR"
"50633-7","","","","","","","","","","Ceftriaxon (Bewertung nur gültig für Meningitis)","Ceftriaxon (Bewertung nur gültig für Meningitis)"
"50712-9","","","","","","","","","","Nachweis einer Influenza-Virus Neuraminidase-Inhibitor Resistenz","Nachweis einer Influenza-Virus Neuraminidase-Inhibitor Resistenz"
"41726-1","","","","","","","","","","Delafloxacin","Delafloxacin"
"41728-7","","","","","","","","","","Biapenem","Biapenem"
"41731-1","","","","","","","","","","Cefpodoxim+Clavulansäure","Cefpodoxim+Clavulansäure"
"41735-2","","","","","","","","","","Everninomicin","Everninomicin"
"41736-0","","","","","","","","","","Oritavancin","Oritavancin"
"51724-3","","","","","","","","","","Cefuroxim","Cefuroxim"
"51504-9","","","","","","","","","","Benzathin-Penicillin G","Benzathin-Penicillin G"
"51563-5","","","","","","","","","","IgE g214 Lieschgraskomponenten RAST","Lieschgraskomponenten (rPhl p7, rPhl p12) RAST"
"51576-7","","","","","","","","","","IgE t221E Birkenkomponenten RAST","Birkenkomponenten (rBet v2, rBet v4) RAST"
"51566-8","","","","","","","","","","IgE k87 Alpha-Amylase (nAsp o1) RAST","IgE k87 Alpha-Amylase (nAsp o1) RAST"
"51719-3","","","","","","","","","","Paromomycin","Paromomycin"
"54166-4","","","","","","","","","","Cefoperazon+Sulbactam","Cefoperazon+Sulbactam"
"54188-8","","","","","","","","","","Posaconazol","Posaconazol"
"55196-0","","","","","","","","","","Terconazol","Terconazol"
"55289-3","","","","","","","","","","Sulopenem","Sulopenem"
"55292-7","","","","","","","","","","Linopristin+Flopristin","Linopristin+Flopristin"
"55631-6","","","","","","","","","","Cefalotin+Sulbactam","Cefalotin+Sulbactam"
"55738-9","","","","","","","","","","Cefotiam","Cefotiam"
"51863-9","","","","","","","","","","IgE m226 Staphyloc. enterotoxin TSST RAST","IgE m226 Staphyloc. enterotoxin TSST RAST"
"51866-2","","","","","","","","","","HIV-AG/AK","HIV-Antigen/Antikörper"
"52128-6","","","","","","","","","","Cefotaxim (Bewertung nur gültig für Meningitis)","Cefotaxim (Bewertung nur gültig für Meningitis)"
"531-4","","","","","","","","","","Zidovudin","Zidovudin"
"54194-6","","","","","","","","","","Mezlocillin+Sulbactam","Mezlocillin+Sulbactam"
